"Country","Region","Happiness.Score","Class","Mean.years.of.schooling","Carbon.Dioxide.Emissions.per.GDP","Change.Florest.Area","Gender.Inequality.Index","Child.malnutrition","Current.health.expenditure","Homicide.Rate","Net.migration.rate","Unemployment","Vulnerable.employment","Suicide.Rate","Contraceptive.prevalence","GDP.per.capita","Life.expectancy.at.birth","Median.age","Refugees.by.country.of.origin","Share.parliament.by.women"
"'SierraLeone'"," 'Sub-SaharanAfrica'",4.507,1,3.4,NA,-0.3,0.653,29.5,20.4,1.7,-0.6,4.6,86.6,15.65,21.2,1552,52.9,18.7,5.3,12.4
"'Mauritania'"," 'Sub-SaharanAfrica'",4.436,1,4.3,NA,-46.7,0.64,22.8,4.7,NA,1.3,9.8,53.5,7.7,17.8,5127,63.9,19.6,37.4,22.2
"'Kenya'"," 'Sub-SaharanAfrica'",4.419,1,6.3,0.11,-5.8,0.537,26.2,5.2,4.7,-0.2,2.8,53.2,5.75,60.5,3825,64.8,18.9,8,20.8
"'Djibouti'"," 'Sub-SaharanAfrica'",4.369,1,4.1,NA,0,NA,33.5,4.4,NA,1.4,10.6,45.9,8.35,19,4489,64.1,25,2.4,12.7
"'Armenia'"," 'CentralandEasternEurope'",4.35,1,11.7,0.2,-0.8,0.309,9.4,10.1,2.6,-2.1,18.3,41.9,6.45,57.1,11321,74.5,33.8,11,10.7
"'Botswana'"," 'Sub-SaharanAfrica'",4.332,1,9.2,0.22,-21.7,0.481,28.9,5.7,NA,-7.1,17.7,26.5,12.45,67.4,16714,67.3,23,0.2,9.5
"'Myanmar'"," 'SoutheasternAsia'",4.307,1,4.9,0.07,-27.3,0.466,29.4,5.2,2.2,-2,0.8,61.6,7.95,52.2,4269,65.8,27.5,1030.8,13
"'Georgia'"," 'CentralandEasternEurope'",4.297,1,12.7,0.26,2.6,0.359,11.3,7.9,NA,-4.7,16.5,52.3,7.05,40.6,12605,73,37.7,7.5,11.3
"'Malawi'"," 'Sub-SaharanAfrica'",4.292,1,4.4,NA,-19.7,0.594,39,9.3,NA,-1,5.8,59.8,8.25,59.2,1027,62,17.2,0.6,16.7
"'SriLanka'"," 'SouthernAsia'",4.271,1,10.9,0.09,-9.7,0.412,17.3,3.9,2.3,-4.7,4.5,40.8,15.05,61.7,11891,76.3,32.3,110.4,4.9
"'Cameroon'"," 'Sub-SaharanAfrica'",4.252,1,6,0.08,-23.5,0.572,28.9,4.7,1.2,-0.3,3.5,74.2,19.8,19.3,3459,57.6,18.2,66.3,27.1
"'Bulgaria'"," 'CentralandEasternEurope'",4.218,1,11.3,0.37,17.6,0.227,7,8.2,1.8,-0.7,9.1,8.5,8.15,NA,19599,74.6,43.4,0.6,20.4
"'Egypt'"," 'MiddleEastandNorthernAfrica'",4.194,1,7.1,0.21,67.3,NA,22.3,5.3,NA,-0.6,13.1,25.5,4.25,58.5,10570,71.3,24.3,27.5,NA
"'Yemen'"," 'MiddleEastandNorthernAfrica'",4.077,1,3,0.14,0,0.819,46.4,4.2,NA,-0.6,13.4,43.7,9.95,33.5,NA,66.1,19.1,36.5,0.5
"'Angola'"," 'Sub-SaharanAfrica'",4.033,1,5,0.12,-5.3,0.534,37.6,2.6,NA,1.3,7.3,66.8,9.75,13.7,8036,59.4,16.4,8.2,36.8
"'Mali'"," 'Sub-SaharanAfrica'",3.995,1,2.1,NA,-30.7,0.681,26.9,4.1,NA,-3.7,7.7,80.3,9.15,17.2,2141,57.5,16,164.5,8.8
"'Congo(Brazzaville)'"," 'Sub-SaharanAfrica'",3.989,1,6.5,0.12,-1.8,0.588,21.2,3.4,NA,-2.6,9.9,75.9,9.75,30.1,3802,63.1,18.9,13.5,11.5
"'Comoros'"," 'Sub-SaharanAfrica'",3.956,1,4.8,NA,-25.3,NA,31.1,7.8,NA,-2.7,4.5,64.1,11.5,19.4,2960,63.5,19.7,0.7,3
"'Uganda'"," 'Sub-SaharanAfrica'",3.931,1,5.7,NA,-59.3,0.544,28.9,6.5,NA,-1.7,1.9,75.8,20.15,41.8,2052,61.4,15.9,7.5,35
